price,year,month,National Capital region,Region III,Region VI,Region VII,Region XI,Region XII,Autonomous region in Muslim Mindanao,Cordillera Administrative region,Region I,Region II,Region IV-A,Region IV-B,Region IX,Region V,Region VIII,Region X,Region XIII
20,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.35,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.4,2000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.6,2000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.6,2000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18.7,2000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18.9,2000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16.4,2000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,2000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.35,2000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,2000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.5,2000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.55,2000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2000,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18.85,2000,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2000,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.45,2000,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18.1,2000,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16.05,2000,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.35,2000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.35,2000,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.75,2000,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2000,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2000,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2000,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.65,2000,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18.5,2000,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16.2,2000,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2000,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.35,2000,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2000,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.3,2000,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.3,2000,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.7,2000,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.2,2000,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19.1,2000,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2000,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.8,2000,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
